Wall time,Step,Value
1681957862.3371148,682,-535.6443481445312
1681957863.3785028,683,-416.2261047363281
1681957864.423925,684,-407.5873718261719
1681957865.465965,685,-460.40380859375
1681957866.507355,686,-425.4783630371094
1681957868.60616,688,-549.1353759765625
1681957869.6629,689,-602.6023559570312
1681957873.042241,692,-480.73114013671875
1681957877.481353,696,-486.57720947265625
1681957880.9431229,699,-377.7001953125
1681957881.9932969,700,-525.3485107421875
1681957883.09937,701,-503.9004211425781
1681957885.309301,703,-445.882568359375
1681957886.3572822,704,-521.9678344726562
1681957887.4463842,705,-440.4153137207031
1681957888.5214489,706,-358.3926086425781
1681957890.630017,708,-452.1617736816406
1681957891.687294,709,-411.1078796386719
1681957892.837332,710,-443.15435791015625
1681957897.504357,714,-424.37164306640625
1681957901.904025,718,-442.84649658203125
1681957903.004184,719,-508.58282470703125
1681957905.217817,721,-404.1990051269531
1681957906.309348,722,-481.2663879394531
1681957907.402022,723,-483.4819641113281
1681957908.497629,724,-509.7034606933594
1681957909.598113,725,-540.1604614257812
1681957910.721478,726,-490.0669250488281
1681957913.963021,729,-450.42486572265625
1681957915.0527549,730,-415.5644836425781
1681957921.616363,736,-339.4218444824219
1681957923.840095,738,-484.3623962402344
1681957924.9337568,739,-477.8264465332031
1681957926.00862,740,-428.8625183105469
1681957927.088183,741,-467.0743103027344
1681957929.2457721,743,-506.55743408203125
1681957932.5094872,746,-448.8409729003906
1681957933.634239,747,-395.8459167480469
1681957936.94735,750,-599.899169921875
1681957938.1842308,751,-527.547119140625
1681957939.645205,752,-510.61773681640625
1681957941.972807,754,-532.7039184570312
1681957944.405231,756,-557.5327758789062
1681957947.9654028,759,-430.3367919921875
1681957949.227678,760,-465.5122375488281
1681957951.619242,762,-561.3828125
1681957955.04834,765,-420.7867736816406
1681957956.144842,766,-564.473876953125
1681957957.226271,767,-459.6290283203125
1681957959.677401,769,-517.715576171875
1681957960.857912,770,-481.44915771484375
1681957962.102947,771,-482.1559753417969
1681957964.391592,773,-487.2798767089844
1681957965.501833,774,-508.8125305175781
1681957966.597731,775,-514.1505126953125
1681957972.148632,780,-521.5568237304688
1681957976.4865751,784,-425.76611328125
1681957977.62528,785,-506.0487365722656
1681957979.96417,787,-474.9395751953125
1681957982.2367628,789,-447.1410827636719
1681957984.5719502,791,-599.6578979492188
